% isAttack normal:	571
% isAttack attack:	3056
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,attack}

@data
4003,160120,0,0,40,40,40,0,-1,-1,-1,0,9,7323,866492,42432,0,0,0,0,29310589,29310589,29310589,29310589,0,0,0,0,0,4003,160120,0,0,0,0,0,0,80068,0,attack
6569,262760,0,0,40,40,40,0,-1,-1,-1,0,6,4547,833048,21892,0,0,0,0,29868695,29868695,29868695,29868695,0,0,0,0,0,6569,262760,0,0,0,0,0,0,131388,0,attack
4040,161600,0,0,40,40,40,0,-1,-1,-1,0,54,7255,905189,42970,0,0,0,0,29305254,29305254,29305254,29305254,0,0,0,0,0,4040,161600,0,0,0,0,0,0,80808,0,attack
7175,287000,0,0,40,40,40,0,-1,-1,-1,0,12,4093,597214,15281,0,0,0,0,29364748,29364748,29364748,29364748,0,0,0,0,0,7175,287000,0,0,0,0,0,0,143508,0,attack
3070,122800,0,0,40,40,40,0,-1,-1,-1,0,280,8479,955083,53889,0,0,0,0,27109836,9606995,13007584,16408174,4809159,1094667,1094667,1094667,0,1535,61400,0,0,0,0,0,0,61408,0,attack
2533,101320,0,0,40,40,40,0,-1,-1,-1,0,411,9348,958703,56157,0,0,0,0,27112042,839046,5910409,11725757,5560165,1119180,1156802,1205564,44256,633,25330,0,0,0,0,0,0,50668,0,attack
2986,119440,0,0,40,40,40,0,-1,-1,-1,0,14,6599,897270,42898,0,0,0,0,23943436,32494,4919582,12365824,5350715,1110008,1421702,1769764,331378,746,29860,0,0,0,0,0,0,59728,0,attack
3003,120120,0,0,40,40,40,0,-1,-1,-1,0,1,8615,992465,41739,0,0,0,0,28238814,1125004,8615703,16563786,7729547,1039803,1195852,1351901,220686,1001,40040,0,0,0,0,0,0,60068,0,attack
6427,257080,0,0,40,40,40,0,-1,-1,-1,0,184,4647,834645,22437,0,0,0,0,29867277,29867277,29867277,29867277,0,0,0,0,0,6427,257080,0,0,0,0,0,0,128548,0,attack
4159,166360,0,0,40,40,40,0,-1,-1,-1,0,87,6899,857525,37739,0,0,0,0,28689514,28689514,28689514,28689514,0,0,0,0,0,4159,166360,0,0,0,0,0,0,83188,0,attack
6207,248280,0,0,40,40,40,0,-1,-1,-1,0,18,4152,666570,19076,0,0,0,0,29118682,205177,8586867,14795744,7534055,1633115,1679040,1724966,64948,2069,82760,0,0,0,0,0,0,124148,0,attack
9362,374480,0,0,40,40,40,0,-1,-1,-1,0,2,3136,793014,14715,0,0,0,0,29361574,29361574,29361574,29361574,0,0,0,0,0,9362,374480,0,0,0,0,0,0,187248,0,attack
6176,247040,0,0,40,40,40,0,-1,-1,-1,0,7,4227,984837,29137,0,0,0,0,28806699,30574,8698019,20035553,10266295,1164226,1356320,1548415,271662,2058,82346,0,0,0,0,0,0,123528,0,attack
8100,324000,0,0,40,40,40,0,-1,-1,-1,0,1,3626,459152,12779,0,0,0,0,29370160,29370160,29370160,29370160,0,0,0,0,0,8100,324000,0,0,0,0,0,0,162008,0,attack
17426,697040,0,0,40,40,40,0,-1,-1,-1,0,219,1718,21495,1398,0,0,0,0,29947405,29947405,29947405,29947405,0,0,0,0,0,17426,697040,0,0,0,0,0,0,348528,0,attack
4360,174400,0,0,40,40,40,0,-1,-1,-1,0,239,6736,794683,34738,0,0,0,0,29365491,29365491,29365491,29365491,0,0,0,0,0,4360,174400,0,0,0,0,0,0,87208,0,attack
4932,197280,0,0,40,40,40,0,-1,-1,-1,0,254,5949,780486,33160,0,0,0,0,29336588,29336588,29336588,29336588,0,0,0,0,0,4932,197280,0,0,0,0,0,0,98648,0,attack
1507,60280,0,0,40,40,40,0,-1,-1,-1,0,42,11417,902176,61313,0,0,0,0,21114978,1681655,4290293,9482871,3556744,1009840,1317935,1838980,453738,376,15070,0,0,0,0,0,0,30148,0,attack
17561,702440,0,0,40,40,40,0,-1,-1,-1,0,96,1706,18550,1383,0,0,0,0,29964746,29964746,29964746,29964746,0,0,0,0,0,17561,702440,0,0,0,0,0,0,351228,0,attack
9006,360240,0,0,40,40,40,0,-1,-1,-1,0,6,3218,285900,10961,0,0,0,0,30055057,8464154,14489085,20514016,8520539,1076887,1076887,1076887,0,4503,180120,0,0,0,0,0,0,180128,0,attack
6748,269920,0,0,40,40,40,0,-1,-1,-1,0,2,3739,901657,23790,0,0,0,0,28822553,25143,8407603,20028844,10387698,1172017,1799871,2427726,887920,2249,89973,0,0,0,0,0,0,134968,0,attack
4961,198440,0,0,40,40,40,0,-1,-1,-1,0,9,5919,760107,31662,0,0,0,0,29362685,29362685,29362685,29362685,0,0,0,0,0,4961,198440,0,0,0,0,0,0,99228,0,attack
4038,161520,0,0,40,40,40,0,-1,-1,-1,0,176,7006,938916,41247,0,0,0,0,29299769,12646098,14139140,15632183,2111480,1021488,1021488,1021488,0,2019,80760,0,0,0,0,0,0,80768,0,attack
7246,289840,0,0,40,40,40,0,-1,-1,-1,0,5,4053,597827,15341,0,0,0,0,29367918,29367918,29367918,29367918,0,0,0,0,0,7246,289840,0,0,0,0,0,0,144928,0,attack
7295,291800,0,0,40,40,40,0,-1,-1,-1,0,10,3736,688364,18886,0,0,0,0,27251937,27251937,27251937,27251937,0,0,0,0,0,7295,291800,0,0,0,0,0,0,145908,0,attack
6407,256280,0,0,40,40,40,0,-1,-1,-1,0,6,4662,832357,22629,0,0,0,0,29866162,29866162,29866162,29866162,0,0,0,0,0,6407,256280,0,0,0,0,0,0,128148,0,attack
3236,129440,0,0,40,40,40,0,-1,-1,-1,0,13,8404,992748,42832,0,0,0,0,28425623,8338882,13590589,18842297,7427035,1244444,1244444,1244444,0,1618,64720,0,0,0,0,0,0,64728,0,attack
4841,193640,0,0,40,40,40,0,-1,-1,-1,0,198,1993,25458,2109,0,0,0,0,9647804,9647804,9647804,9647804,0,0,0,0,0,4841,193640,0,0,0,0,0,0,96828,0,attack
7531,301240,0,0,40,40,40,0,-1,-1,-1,0,14,3900,459735,13630,0,0,0,0,29367370,29367370,29367370,29367370,0,0,0,0,0,7531,301240,0,0,0,0,0,0,150628,0,attack
6215,248600,0,0,40,40,40,0,-1,-1,-1,0,190,4200,910762,29703,0,0,0,0,28803008,44244,8697152,20028752,10258005,1159039,1355775,1552511,278226,2071,82866,0,0,0,0,0,0,124308,0,attack
5971,238840,0,0,40,40,40,0,-1,-1,-1,0,173,5002,855445,23718,0,0,0,0,29862595,29862595,29862595,29862595,0,0,0,0,0,5971,238840,0,0,0,0,0,0,119428,0,attack
6301,252040,0,0,40,40,40,0,-1,-1,-1,0,19,4144,907947,28299,0,0,0,0,28817303,30586,8700086,20028012,10260344,1172955,1358521,1544088,262430,2100,84013,0,0,0,0,0,0,126028,0,attack
3817,152680,0,0,40,40,40,0,-1,-1,-1,0,131,7681,901930,47202,0,0,0,0,29310982,29310982,29310982,29310982,0,0,0,0,0,3817,152680,0,0,0,0,0,0,76348,0,attack
6442,257680,0,0,40,40,40,0,-1,-1,-1,0,10,4636,834579,22584,0,0,0,0,29861452,29861452,29861452,29861452,0,0,0,0,0,6442,257680,0,0,0,0,0,0,128848,0,attack
3857,154280,0,0,40,40,40,0,-1,-1,-1,0,322,7601,873739,44102,0,0,0,0,29312693,29312693,29312693,29312693,0,0,0,0,0,3857,154280,0,0,0,0,0,0,77148,0,attack
6712,268480,0,0,40,40,40,0,-1,-1,-1,0,7,3760,907293,25046,0,0,0,0,28819117,35393,8409782,20026531,10382488,1171701,1794884,2418068,881314,2237,89493,0,0,0,0,0,0,134248,0,attack
6277,251080,0,0,40,40,40,0,-1,-1,-1,0,178,4020,906664,25922,0,0,0,0,28815136,34929,8408095,20024483,10381928,1173738,1795425,2417112,879198,2092,83693,0,0,0,0,0,0,125548,0,attack
7338,293520,0,0,40,40,40,0,-1,-1,-1,0,2,3714,688400,19111,0,0,0,0,27252388,27252388,27252388,27252388,0,0,0,0,0,7338,293520,0,0,0,0,0,0,146768,0,attack
3755,150200,0,0,40,40,40,0,-1,-1,-1,0,1,7808,886142,44667,0,0,0,0,29311480,29311480,29311480,29311480,0,0,0,0,0,3755,150200,0,0,0,0,0,0,75108,0,attack
7799,311960,0,0,40,40,40,0,-1,-1,-1,0,7,3494,714348,18477,0,0,0,0,27251824,27251824,27251824,27251824,0,0,0,0,0,7799,311960,0,0,0,0,0,0,155988,0,attack
8083,323320,0,0,40,40,40,0,-1,-1,-1,0,2,3633,459151,12702,0,0,0,0,29365499,29365499,29365499,29365499,0,0,0,0,0,8083,323320,0,0,0,0,0,0,161668,0,attack
4893,195720,0,0,40,40,40,0,-1,-1,-1,0,6,5998,759014,32154,0,0,0,0,29344376,29344376,29344376,29344376,0,0,0,0,0,4893,195720,0,0,0,0,0,0,97868,0,attack
4601,184040,0,0,40,40,40,0,-1,-1,-1,0,301,2098,18193,2139,0,0,0,0,9652493,9652493,9652493,9652493,0,0,0,0,0,4601,184040,0,0,0,0,0,0,92028,0,attack
3546,141840,0,0,40,40,40,0,-1,-1,-1,0,43,8268,869200,45388,0,0,0,0,29313588,29313588,29313588,29313588,0,0,0,0,0,3546,141840,0,0,0,0,0,0,70928,0,attack
2628,105120,0,0,40,40,40,0,-1,-1,-1,0,2,9812,963915,44853,0,0,0,0,28357554,1101260,8585902,16382966,7645641,1241327,1299923,1358519,82867,876,35040,0,0,0,0,0,0,52568,0,attack
7370,294800,0,0,40,40,40,0,-1,-1,-1,0,13,3985,459272,13774,0,0,0,0,29366557,29366557,29366557,29366557,0,0,0,0,0,7370,294800,0,0,0,0,0,0,147408,0,attack
4173,166920,0,0,40,40,40,0,-1,-1,-1,0,4,6876,871480,38514,0,0,0,0,28689989,28689989,28689989,28689989,0,0,0,0,0,4173,166920,0,0,0,0,0,0,83468,0,attack
987,39480,0,0,40,40,40,0,-1,-1,-1,0,5,13560,807041,66556,0,0,0,0,18701593,12888,2663318,7072617,2633889,1012846,1346250,1840984,373567,197,7896,0,0,0,0,0,0,19748,0,attack
2647,105880,0,0,40,40,40,0,-1,-1,-1,0,431,9411,930117,55292,0,0,0,0,27056554,1625509,8295034,13684062,6130410,1032840,1085725,1138610,74790,882,35293,0,0,0,0,0,0,52948,0,attack
2908,116320,0,0,40,40,40,0,-1,-1,-1,0,235,8952,955795,54693,0,0,0,0,27109609,9607585,13007649,16407713,4808416,1094311,1094311,1094311,0,1454,58160,0,0,0,0,0,0,58168,0,attack
2385,95400,0,0,40,40,40,0,-1,-1,-1,0,275,9960,962055,62243,0,0,0,0,27116895,919026,5928970,11730185,5545939,1049443,1133671,1219671,85127,596,23850,0,0,0,0,0,0,47708,0,attack
3919,156760,0,0,40,40,40,0,-1,-1,-1,0,168,7130,883187,42275,0,0,0,0,29304271,12979324,13965153,14950982,1394172,1373965,1373965,1373965,0,1959,78380,0,0,0,0,0,0,78388,0,attack
17793,711720,0,0,40,40,40,0,-1,-1,-1,0,60,1684,17032,1346,0,0,0,0,29964774,29964774,29964774,29964774,0,0,0,0,0,17793,711720,0,0,0,0,0,0,355868,0,attack
18012,720480,0,0,40,40,40,0,-1,-1,-1,0,6,1663,15632,1303,0,0,0,0,29957054,29957054,29957054,29957054,0,0,0,0,0,18012,720480,0,0,0,0,0,0,360248,0,attack
3682,147280,0,0,40,40,40,0,-1,-1,-1,0,3,7963,886040,45207,0,0,0,0,29313541,29313541,29313541,29313541,0,0,0,0,0,3682,147280,0,0,0,0,0,0,73648,0,attack
4023,160920,0,0,40,40,40,0,-1,-1,-1,0,156,7297,791845,35942,0,0,0,0,29348538,29348538,29348538,29348538,0,0,0,0,0,4023,160920,0,0,0,0,0,0,80468,0,attack
3314,132560,0,0,40,40,40,0,-1,-1,-1,0,271,7851,958578,51268,0,0,0,0,27101518,9598988,13002657,16406327,4813515,1096203,1096203,1096203,0,1657,66280,0,0,0,0,0,0,66288,0,attack
3669,146760,0,0,40,40,40,0,-1,-1,-1,0,143,7991,939093,47213,0,0,0,0,29313348,29313348,29313348,29313348,0,0,0,0,0,3669,146760,0,0,0,0,0,0,73388,0,attack
4014,160560,0,0,40,40,40,0,-1,-1,-1,0,242,7149,871342,38601,0,0,0,0,28690830,28690830,28690830,28690830,0,0,0,0,0,4014,160560,0,0,0,0,0,0,80288,0,attack
4965,198600,0,0,40,40,40,0,-1,-1,-1,0,190,5916,766637,32031,0,0,0,0,29369990,29369990,29369990,29369990,0,0,0,0,0,4965,198600,0,0,0,0,0,0,99308,0,attack
3677,147080,0,0,40,40,40,0,-1,-1,-1,0,10,7973,907092,46596,0,0,0,0,29310653,29310653,29310653,29310653,0,0,0,0,0,3677,147080,0,0,0,0,0,0,73548,0,attack
6616,264640,0,0,40,40,40,0,-1,-1,-1,0,20,3889,661438,17869,0,0,0,0,29118582,128758,8574748,14797959,7583002,1568198,1697168,1826138,182391,2205,88213,0,0,0,0,0,0,132328,0,attack
15415,616600,0,0,40,40,40,0,-1,-1,-1,0,192,1925,122908,2145,0,0,0,0,29672507,29672507,29672507,29672507,0,0,0,0,0,15415,616600,0,0,0,0,0,0,308308,0,attack
1411,56440,0,0,40,40,40,0,-1,-1,-1,0,13,11802,902208,59895,0,0,0,0,20941714,12833,4151401,9301537,3977822,1107972,1445369,1833639,365498,352,14110,0,0,0,0,0,0,28228,0,attack
2876,115040,0,0,40,40,40,0,-1,-1,-1,0,55,8758,891010,41836,0,0,0,0,28413909,455831,8387776,16364429,7954393,1344230,1625290,1906350,397478,958,38346,0,0,0,0,0,0,57528,0,attack
6257,250280,0,0,40,40,40,0,-1,-1,-1,0,10,4104,663469,18735,0,0,0,0,29106819,136856,8555811,14798954,7569339,1621028,1719692,1818356,139531,2085,83426,0,0,0,0,0,0,125148,0,attack
4343,173720,0,0,40,40,40,0,-1,-1,-1,0,331,6741,861611,40797,0,0,0,0,29270592,29270592,29270592,29270592,0,0,0,0,0,4343,173720,0,0,0,0,0,0,86868,0,attack
3910,156400,0,0,40,40,40,0,-1,-1,-1,0,11,7498,868179,43477,0,0,0,0,29310764,29310764,29310764,29310764,0,0,0,0,0,3910,156400,0,0,0,0,0,0,78208,0,attack
17471,698840,0,0,40,40,40,0,-1,-1,-1,0,8,1714,15627,1354,0,0,0,0,29947131,29947131,29947131,29947131,0,0,0,0,0,17471,698840,0,0,0,0,0,0,349428,0,attack
4165,166600,0,0,40,40,40,0,-1,-1,-1,0,8,7049,800210,36987,0,0,0,0,29353111,29353111,29353111,29353111,0,0,0,0,0,4165,166600,0,0,0,0,0,0,83308,0,attack
1155,46200,0,0,40,40,40,0,-1,-1,-1,0,12,9695,946602,58926,0,0,0,0,11188368,11188368,11188368,11188368,0,0,0,0,0,1155,46200,0,0,0,0,0,0,23108,0,attack
7790,311600,0,0,40,40,40,0,-1,-1,-1,0,8,3770,600348,13633,0,0,0,0,29369230,29369230,29369230,29369230,0,0,0,0,0,7790,311600,0,0,0,0,0,0,155808,0,attack
17720,708800,0,0,40,40,40,0,-1,-1,-1,0,3,1690,16219,1353,0,0,0,0,29953024,29953024,29953024,29953024,0,0,0,0,0,17720,708800,0,0,0,0,0,0,354408,0,attack
17521,700840,0,0,40,40,40,0,-1,-1,-1,0,9,1709,15408,1357,0,0,0,0,29955170,29955170,29955170,29955170,0,0,0,0,0,17521,700840,0,0,0,0,0,0,350428,0,attack
4308,172320,0,0,40,40,40,0,-1,-1,-1,0,257,6655,859648,37348,0,0,0,0,28663685,28663685,28663685,28663685,0,0,0,0,0,4308,172320,0,0,0,0,0,0,86168,0,attack
6655,266200,0,0,40,40,40,0,-1,-1,-1,0,196,4488,831827,21523,0,0,0,0,29867507,29867507,29867507,29867507,0,0,0,0,0,6655,266200,0,0,0,0,0,0,133108,0,attack
7659,306360,0,0,40,40,40,0,-1,-1,-1,0,4,3834,597899,14348,0,0,0,0,29367904,29367904,29367904,29367904,0,0,0,0,0,7659,306360,0,0,0,0,0,0,153188,0,attack
6636,265440,0,0,40,40,40,0,-1,-1,-1,0,9,4501,840402,21582,0,0,0,0,29868199,29868199,29868199,29868199,0,0,0,0,0,6636,265440,0,0,0,0,0,0,132728,0,attack
3097,123880,0,0,40,40,40,0,-1,-1,-1,0,43,5611,793326,36635,0,0,0,0,23934255,35539,2890898,12302700,4687084,1010247,1317772,1833641,319806,516,20646,0,0,0,0,0,0,61948,0,attack
4815,192600,0,0,40,40,40,0,-1,-1,-1,0,208,6095,790747,32010,0,0,0,0,29343370,29343370,29343370,29343370,0,0,0,0,0,4815,192600,0,0,0,0,0,0,96308,0,attack
6637,265480,0,0,40,40,40,0,-1,-1,-1,0,300,3933,987982,28353,0,0,0,0,28822884,13371,8698176,20035479,10271222,1165327,1364177,1563027,281216,2212,88493,0,0,0,0,0,0,132748,0,attack
6777,271080,0,0,40,40,40,0,-1,-1,-1,0,11,3820,988126,27498,0,0,0,0,28600553,33963,8626479,20023045,10285323,1178005,1360557,1543110,258168,2259,90360,0,0,0,0,0,0,135548,0,attack
2279,91160,0,0,40,40,40,0,-1,-1,-1,0,106,10410,961466,61821,0,0,0,0,27108110,893291,5920741,11720773,5547650,1060054,1141714,1217829,79033,569,22790,0,0,0,0,0,0,45588,0,attack
3273,130920,0,0,40,40,40,0,-1,-1,-1,0,15,7949,979059,51933,0,0,0,0,27112239,9605826,13001630,16397435,4802392,1108978,1108978,1108978,0,1636,65460,0,0,0,0,0,0,65468,0,attack
3809,152360,0,0,40,40,40,0,-1,-1,-1,0,16,7692,869017,45888,0,0,0,0,29293900,29293900,29293900,29293900,0,0,0,0,0,3809,152360,0,0,0,0,0,0,76188,0,attack
4427,177080,0,0,40,40,40,0,-1,-1,-1,0,8,6482,857932,37229,0,0,0,0,28690467,28690467,28690467,28690467,0,0,0,0,0,4427,177080,0,0,0,0,0,0,88548,0,attack
2452,98080,0,0,40,40,40,0,-1,-1,-1,0,327,9592,953336,57930,0,0,0,0,24598576,7094241,11751360,16408480,6586161,1095855,1095855,1095855,0,1226,49040,0,0,0,0,0,0,49048,0,attack
1972,78880,0,0,40,40,40,0,-1,-1,-1,0,238,10585,953373,63174,0,0,0,0,21948197,4438555,10426663,16414772,8468464,1094870,1094870,1094870,0,986,39440,0,0,0,0,0,0,39448,0,attack
2485,99400,0,0,40,40,40,0,-1,-1,-1,0,288,10471,965774,61278,0,0,0,0,27114265,9604720,13000043,16395366,4801711,1114179,1114179,1114179,0,1242,49700,0,0,0,0,0,0,49708,0,attack
6270,250800,0,0,40,40,40,0,-1,-1,-1,0,69,1556,8219,460,0,0,0,0,9757339,9757339,9757339,9757339,0,0,0,0,0,6270,250800,0,0,0,0,0,0,125408,0,attack
4187,167480,0,0,40,40,40,0,-1,-1,-1,0,12,6847,857459,37924,0,0,0,0,28664402,28664402,28664402,28664402,0,0,0,0,0,4187,167480,0,0,0,0,0,0,83748,0,attack
6554,262160,0,0,40,40,40,0,-1,-1,-1,0,137,3935,679586,18035,0,0,0,0,29119959,219440,8593009,14800065,7527880,1609440,1670466,1731492,86303,2184,87386,0,0,0,0,0,0,131088,0,attack
4061,162440,0,0,40,40,40,0,-1,-1,-1,0,152,7060,857747,38511,0,0,0,0,28664646,28664646,28664646,28664646,0,0,0,0,0,4061,162440,0,0,0,0,0,0,81228,0,attack
6263,250520,0,0,40,40,40,0,-1,-1,-1,0,202,4769,834053,23626,0,0,0,0,29866543,29866543,29866543,29866543,0,0,0,0,0,6263,250520,0,0,0,0,0,0,125268,0,attack
4919,196760,0,0,40,40,40,0,-1,-1,-1,0,456,1962,43801,1995,0,0,0,0,9653720,9653720,9653720,9653720,0,0,0,0,0,4919,196760,0,0,0,0,0,0,98388,0,attack
9806,392240,0,0,40,40,40,0,-1,-1,-1,0,6,2994,608069,13358,0,0,0,0,29365172,29365172,29365172,29365172,0,0,0,0,0,9806,392240,0,0,0,0,0,0,196128,0,attack
2887,115480,0,0,40,40,40,0,-1,-1,-1,0,2,8611,961477,54767,0,0,0,0,27092369,2251477,8278624,16411598,7311165,1105124,1128248,1151373,32702,962,38493,0,0,0,0,0,0,57748,0,attack
12667,506680,0,0,40,40,40,0,-1,-1,-1,0,10,2375,417042,7795,0,0,0,0,30086197,30086197,30086197,30086197,0,0,0,0,0,12667,506680,0,0,0,0,0,0,253348,0,attack
597,23880,0,0,40,40,40,0,-1,-1,-1,0,45,12228,793646,64776,0,0,0,0,9782091,32847,2421319,6325294,3409000,1203023,1259066,1315110,79257,199,7960,0,0,0,0,0,0,11948,0,attack
6468,258720,0,0,40,40,40,0,-1,-1,-1,0,6,4618,834125,23639,0,0,0,0,29865382,29865382,29865382,29865382,0,0,0,0,0,6468,258720,0,0,0,0,0,0,129368,0,attack
4655,186200,0,0,40,40,40,0,-1,-1,-1,0,294,2074,24354,2241,0,0,0,0,9652499,9652499,9652499,9652499,0,0,0,0,0,4655,186200,0,0,0,0,0,0,93108,0,attack
5921,236840,0,0,40,40,40,0,-1,-1,-1,0,3,5045,835483,23688,0,0,0,0,29868394,29868394,29868394,29868394,0,0,0,0,0,5921,236840,0,0,0,0,0,0,118428,0,attack
2964,118560,0,0,40,40,40,0,-1,-1,-1,0,143,8692,993079,42076,0,0,0,0,28341477,1092688,8579033,16372553,7644562,1261453,1302189,1342925,57609,988,39520,0,0,0,0,0,0,59288,0,attack
3375,135000,0,0,40,40,40,0,-1,-1,-1,0,141,8022,989528,42304,0,0,0,0,28425824,8342350,13529919,18717488,7336330,1365986,1365986,1365986,0,1687,67500,0,0,0,0,0,0,67508,0,attack
4073,162920,0,0,40,40,40,0,-1,-1,-1,0,52,7045,858160,39373,0,0,0,0,28690939,28690939,28690939,28690939,0,0,0,0,0,4073,162920,0,0,0,0,0,0,81468,0,attack
6718,268720,0,0,40,40,40,0,-1,-1,-1,0,40,3633,541207,15195,0,0,0,0,29126217,111736,6099402,10799214,5366620,1313029,1576203,1723512,228456,1679,67180,0,0,0,0,0,0,134368,0,attack
9314,372560,0,0,40,40,40,0,-1,-1,-1,0,5,3151,794508,15860,0,0,0,0,29351860,29351860,29351860,29351860,0,0,0,0,0,9314,372560,0,0,0,0,0,0,186288,0,attack
3710,148400,0,0,40,40,40,0,-1,-1,-1,0,5,7903,883392,47310,0,0,0,0,29313642,29313642,29313642,29313642,0,0,0,0,0,3710,148400,0,0,0,0,0,0,74208,0,attack
4225,169000,0,0,40,40,40,0,-1,-1,-1,0,233,6949,800274,35191,0,0,0,0,29353438,29353438,29353438,29353438,0,0,0,0,0,4225,169000,0,0,0,0,0,0,84508,0,attack
9476,379040,0,0,40,40,40,0,-1,-1,-1,0,7,3058,288966,9641,0,0,0,0,30054438,8463694,14488783,20513873,8520763,1076871,1076871,1076871,0,4738,189520,0,0,0,0,0,0,189528,0,attack
3448,137920,0,0,40,40,40,0,-1,-1,-1,0,278,7868,974708,40938,0,0,0,0,28355471,8270910,13557156,18843402,7475880,1241159,1241159,1241159,0,1724,68960,0,0,0,0,0,0,68968,0,attack
6563,262520,0,0,40,40,40,0,-1,-1,-1,0,53,3979,970476,28392,0,0,0,0,28806515,44926,8700989,20032712,10259008,1151175,1351773,1552371,283688,2187,87506,0,0,0,0,0,0,131268,0,attack
3115,124600,0,0,40,40,40,0,-1,-1,-1,0,125,8705,976305,42774,0,0,0,0,28374790,8271134,13549661,18828189,7464965,1275467,1275467,1275467,0,1557,62300,0,0,0,0,0,0,62308,0,attack
4549,181960,0,0,40,40,40,0,-1,-1,-1,0,1,2041,40036,2291,0,0,0,0,9285791,9285791,9285791,9285791,0,0,0,0,0,4549,181960,0,0,0,0,0,0,90988,0,attack
4541,181640,0,0,40,40,40,0,-1,-1,-1,0,236,6456,880262,40112,0,0,0,0,29311032,29311032,29311032,29311032,0,0,0,0,0,4541,181640,0,0,0,0,0,0,90828,0,attack
4471,178840,0,0,40,40,40,0,-1,-1,-1,0,50,2159,53783,2569,0,0,0,0,9653593,9653593,9653593,9653593,0,0,0,0,0,4471,178840,0,0,0,0,0,0,89428,0,attack
2593,103720,0,0,40,40,40,0,-1,-1,-1,0,713,9620,911419,55981,0,0,0,0,27087396,1642251,8305840,13697886,6127577,1035606,1084937,1134268,69764,864,34573,0,0,0,0,0,0,51868,0,attack
15891,635640,0,0,40,40,40,0,-1,-1,-1,0,315,1866,123623,2101,0,0,0,0,29664352,29664352,29664352,29664352,0,0,0,0,0,15891,635640,0,0,0,0,0,0,317828,0,attack
6238,249520,0,0,40,40,40,0,-1,-1,-1,0,6,4787,832199,22405,0,0,0,0,29861878,29861878,29861878,29861878,0,0,0,0,0,6238,249520,0,0,0,0,0,0,124768,0,attack
4279,171160,0,0,40,40,40,0,-1,-1,-1,0,11,6864,800508,36377,0,0,0,0,29366964,29366964,29366964,29366964,0,0,0,0,0,4279,171160,0,0,0,0,0,0,85588,0,attack
568,22720,0,0,40,40,40,0,-1,-1,-1,0,193,13087,801969,66940,0,0,0,0,12716489,12677,1473704,2361288,963716,1009329,1336992,1841234,372755,113,4544,0,0,0,0,0,0,11368,0,attack
9903,396120,0,0,40,40,40,0,-1,-1,-1,0,6,2965,793316,14212,0,0,0,0,29365450,29365450,29365450,29365450,0,0,0,0,0,9903,396120,0,0,0,0,0,0,198068,0,attack
17952,718080,0,0,40,40,40,0,-1,-1,-1,0,6,1668,15433,1284,0,0,0,0,29955347,29955347,29955347,29955347,0,0,0,0,0,17952,718080,0,0,0,0,0,0,359048,0,attack
7357,294280,0,0,40,40,40,0,-1,-1,-1,0,3,3704,687928,18886,0,0,0,0,27252016,27252016,27252016,27252016,0,0,0,0,0,7357,294280,0,0,0,0,0,0,147148,0,attack
4970,198800,0,0,40,40,40,0,-1,-1,-1,0,5,1941,24953,1970,0,0,0,0,9648652,9648652,9648652,9648652,0,0,0,0,0,4970,198800,0,0,0,0,0,0,99408,0,attack
3994,159760,0,0,40,40,40,0,-1,-1,-1,0,4,7341,918135,43294,0,0,0,0,29313612,29313612,29313612,29313612,0,0,0,0,0,3994,159760,0,0,0,0,0,0,79888,0,attack
4619,184760,0,0,40,40,40,0,-1,-1,-1,0,488,6359,763486,32805,0,0,0,0,29368754,29368754,29368754,29368754,0,0,0,0,0,4619,184760,0,0,0,0,0,0,92388,0,attack
6372,254880,0,0,40,40,40,0,-1,-1,-1,0,167,4095,894013,27782,0,0,0,0,28822075,34677,8695476,20029058,10261658,1171887,1367823,1563760,277096,2124,84960,0,0,0,0,0,0,127448,0,attack
