@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4,9,11,13,15,16,17,22,23,24,25,30,31,32,33,36,37-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, normal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_f_bytes numeric
@attribute pps_f numeric
@attribute bps_f numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute isAttack {normal,attack,slowRead,tcpFlood,udpFlood,httpFlood}

@data
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000002,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000001,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0,4,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
0.000003,18,1,46,0,0,46,46,46,0,0,0,0,0,0,0,attack
